DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-05,95.6,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-06,96.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-07,95.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-08,96.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-09,96.2,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-10,95.8,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-11,96.5,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2011-12,96.3,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-01,95.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-02,93.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-03,95.3,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-04,95.4,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-05,96.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-06,96.5,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-07,96.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-08,97.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-09,95.5,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-10,97.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-11,95.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2012-12,95.6,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-01,95.6,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-02,94.5,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-03,95.9,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-04,97.2,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-05,96.9,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-06,96.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-07,96.8,
